GUID,RUN_ID,conductivity,pH,temperature,V_c_T,V_a_T,V_c_1,V_a_1,W_T,W_1,R_W,num_components,recipe,S_pH,PI,PI_equal,PI_pca,rank_PI,rank_cond,rank_gap,score_gap_vs_cond_z
{8857FDA4-D355-639E-C6D7-CA079B7FC5A2},A08092019ythtqw,74.8,8.57,22.1,1.567968,-0.992961,1.475435,-0.714432,2.560929,2.189867,0.8551064867475827,1,Li2SO4:4.00,0.9299999999999997,0.5842302306765382,0.5487963774147657,0.5539246948082467,206,236,30,0.11952191235059761
{FEED1697-6B52-32F8-1842-676B879BB215},A08092019ythtqw,76.3,8.48,22.1,1.573916,-0.983498,1.488521,-0.713647,2.557414,2.202168,0.8610917121748766,1,Li2SO4:5.00,1.0,0.6036424464345198,0.5682199624213167,0.5916033426457813,202,233,31,0.12350597609561752
{8BCB596C-FA14-81EE-BC27-0798A581BFCE},A08092019ythtqw,74.5,8.39,22.0,1.592933,-1.011601,1.503842,-0.895515,2.604534,2.3993569999999997,0.9212231439482071,1,Li2SO4:6.00,1.0,0.6188177126161178,0.5782786228846674,0.7425086226902216,194,237,43,0.17131474103585656
{55D7E85D-31DC-67DC-88C0-93723C35AD19},A08092019ythtqw,70.5,8.28,22.2,1.612324,-1.00998,1.522115,-0.914402,2.622304,2.4365170000000003,0.9291512349445373,1,Li2SO4:7.00,1.0,0.6137167913848264,0.5713335800779197,0.7589936663166097,195,241,46,0.18326693227091634
{CB274B1F-C756-74A0-5F0C-DA4CF88980F0},A08092019ythtqw,54.1,9.22,22.1,1.614754,-0.859456,1.521568,-0.429158,2.4742100000000002,1.950726,0.7884237797115038,1,LiNO3:1.00,0.27999999999999936,0.269481277274245,0.25597344071580325,0.12644961263913657,249,244,-5,0.0199203187250996
{A193856D-2881-6584-2B11-5AA5C4C58728},A08092019ythtqw,91.5,9.13,22.1,1.644803,-0.870309,1.547783,-0.508588,2.5151120000000002,2.056371,0.8176061344385458,1,LiNO3:2.00,0.3699999999999992,0.4019317721198476,0.40029143064117495,0.3115363196258191,245,218,-27,0.10756972111553784
{D2B4FA6C-8582-5DC5-7CF2-5A3CB5D0ED40},A08092019ythtqw,118.2,8.99,22.1,1.666458,-0.91927,1.565811,-0.634651,2.585728,2.200462,0.8510028897084302,1,LiNO3:3.00,0.5099999999999998,0.5369073008229176,0.5363019803148683,0.5107092614337845,217,183,-34,0.13545816733067728
{DDD893B4-0250-16A8-3F83-ABA805612897},A08092019ythtqw,136.0,8.84,22.0,1.704902,-0.948535,1.602737,-0.719136,2.653437,2.321873,0.8750435755587942,1,LiNO3:4.00,0.6600000000000001,0.6531262259349591,0.648514622994584,0.6736338505666978,178,146,-32,0.12749003984063745
{B29332A8-EF54-8652-D277-B7A4296A26D8},A08092019ythtqw,146.5,8.69,21.6,1.730598,-0.963263,1.629952,-0.780776,2.693861,2.410728,0.894896952738096,1,LiNO3:5.00,0.8100000000000005,0.7456636026612974,0.7345928810551449,0.8031783352306138,102,113,11,0.043824701195219196
{6C16C74A-F5C0-CAE1-376B-C378310069B2},A08092019ythtqw,150.7,8.53,21.3,1.741022,-0.964517,1.634834,-0.747905,2.705539,2.382739,0.8806892083241085,1,LiNO3:6.00,0.9700000000000006,0.7894730286880021,0.7749145489536974,0.833147044341322,69,85,16,0.0677290836653387
